Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Afghanistan,2014,Size,,Small (5-19),Average,9.0,100.0,...,0.0,0.0,...,...,73.8,...,19.4,11.7,...,...,...
Afghanistan,2014,Size,,Medium (20-99),Average,10.0,100.0,...,0.0,0.0,...,...,55.1,...,29.7,16.2,...,...,...
Afghanistan,2014,Size,,Large (100+),Average,12.6,100.0,...,0.0,0.0,...,...,60.6,...,22.0,15.8,...,...,...
Afghanistan,2014,Location,,Herat,Average,10.3,100.0,...,0.0,0.0,...,...,71.1,...,4.8,0.1,...,...,...
Afghanistan,2014,Location,,Jalalabad,Average,11.0,100.0,...,0.0,0.0,...,...,99.7,...,52.0,4.4,...,...,...
Afghanistan,2014,Location,,Kabul,Average,8.9,100.0,...,0.0,0.0,...,...,40.1,...,28.0,29.0,...,...,...
Afghanistan,2014,Location,,Kandahar,Average,8.2,100.0,...,0.0,0.0,...,...,100.0,...,10.7,0.0,...,...,...
Afghanistan,2014,Location,,Mazar-E-Sharif,Average,9.3,100.0,...,0.0,0.0,...,...,83.4,...,3.2,5.9,...,...,...
Afghanistan,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,9.7,100.0,...,0.0,0.0,...,...,77.2,...,24.3,13.2,...,...,...
Afghanistan,2014,Exporter Type,,Non-exporter,Average,9.2,100.0,...,0.0,0.0,...,...,64.5,...,24.6,14.5,...,...,...
Afghanistan,2014,Gender of Top Manager,,Top manager is female,Average,9.5,100.0,...,0.0,0.0,...,...,49.6,...,17.4,0.2,...,...,...
Afghanistan,2014,Gender of Top Manager,,Top manager is male,Average,9.5,100.0,...,0.0,0.0,...,...,68.6,...,22.8,14.0,...,...,...
Afghanistan,2014,Ownership Type,,Domestic,Average,9.5,100.0,...,0.0,0.0,...,...,68.4,...,22.1,13.0,...,...,...
Angola,2006,,,,Average,7.9,89.5,...,14.7,0.5,...,...,68.5,...,5.1,7.7,...,...,...
Angola,2006,Sector,Manufacturing,All,Average,8.9,93.9,...,8.2,0.5,...,...,73.5,...,4.1,4.2,...,...,...
Angola,2006,Sector,Manufacturing,Food,Average,8.5,89.7,...,15.7,0.0,...,...,61.4,...,6.4,4.1,...,...,...
Angola,2006,Sector,Manufacturing,Garments,Average,7.8,100.0,...,0.0,0.0,...,...,100.0,...,0.0,0.0,...,...,...
Angola,2006,Sector,Manufacturing,Other Manufacturing,Average,9.3,95.6,...,4.9,0.8,...,...,76.7,...,3.3,4.9,...,...,...
Angola,2006,Sector,Services,All,Average,6.6,83.8,...,23.1,0.5,...,...,62.0,...,6.3,12.2,...,...,...
Angola,2006,Sector,Services,Retail,Average,6.0,83.0,...,23.6,0.9,...,...,64.7,...,10.4,8.5,...,...,...
Angola,2006,Sector,Services,Other Services,Average,7.3,84.6,...,22.7,0.0,...,...,59.0,...,1.8,16.3,...,...,...
Angola,2006,Size,,Small (5-19),Average,7.4,91.1,...,12.9,0.3,...,...,70.2,...,3.7,4.9,...,...,...
Angola,2006,Size,,Medium (20-99),Average,9.3,85.4,...,20.8,0.0,...,...,61.2,...,9.6,18.6,...,...,...
Angola,2006,Size,,Large (100+),Average,22.5,43.3,...,50.0,16.7,...,...,50.0,...,33.3,50.0,...,...,...
Angola,2006,Location,,Benguela,Average,13.7,94.4,...,11.3,0.0,...,...,61.2,...,3.8,0.0,...,...,...
Angola,2006,Location,,Huambo,Average,19.6,100.0,...,0.0,0.0,...,...,87.4,...,3.6,0.0,...,...,...
Angola,2006,Location,,Luanda,Average,6.3,88.1,...,16.1,0.6,...,...,68.2,...,5.3,9.3,...,...,...
Angola,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Angola,2006,Exporter Type,,Non-exporter,Average,7.9,90.2,...,14.0,0.5,...,...,69.0,...,4.9,7.8,...,...,...
Angola,2006,Ownership Type,,Domestic,Average,8.1,99.7,...,0.0,0.3,...,...,75.8,...,3.0,5.9,...,...,...
Angola,2006,Ownership Type,,10% or more foreign ownership,Average,6.6,30.5,...,100.0,1.5,...,...,26.0,...,17.0,18.1,...,...,...
Angola,2010,,,,Average,10.0,59.2,...,27.0,3.4,...,...,44.8,...,21.6,20.2,...,...,...
Angola,2010,Sector,Manufacturing,All,Average,11.4,55.8,...,27.3,7.7,...,...,46.8,...,23.3,22.2,...,...,...
Angola,2010,Sector,Manufacturing,Manufacturing,Average,11.4,55.8,...,27.3,7.7,...,...,46.8,...,23.3,22.2,...,...,...
Angola,2010,Sector,Services,All,Average,9.2,61.0,...,26.8,1.2,...,...,43.8,...,20.8,19.2,...,...,...
Angola,2010,Sector,Services,Retail,Average,8.4,56.5,...,28.3,0.8,...,...,52.2,...,9.0,17.9,...,...,...
Angola,2010,Sector,Services,Other Services,Average,9.5,62.3,...,26.3,1.3,...,...,41.4,...,24.1,19.5,...,...,...
Angola,2010,Size,,Small (5-19),Average,8.4,60.6,...,18.0,0.4,...,...,58.4,...,16.2,15.6,...,...,...
Angola,2010,Size,,Medium (20-99),Average,10.9,57.7,...,31.2,2.7,...,...,32.0,...,23.0,20.6,...,...,...
Angola,2010,Size,,Large (100+),Average,14.5,57.4,...,57.2,20.6,...,...,18.6,...,45.4,40.5,...,...,...
Angola,2010,Location,,Benguela,Average,16.7,88.5,...,30.8,7.6,...,...,30.5,...,11.0,8.2,...,...,...
Angola,2010,Location,,Huambo,Average,15.7,63.3,...,55.6,23.1,...,...,23.6,...,26.6,35.4,...,...,...
Angola,2010,Location,,Luanda,Average,9.2,56.6,...,25.9,2.5,...,...,46.7,...,22.5,20.8,...,...,...
Angola,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,10.1,n.a.,...,31.9,0.0,...,...,38.1,...,18.1,57.4,...,...,...
Angola,2010,Exporter Type,,Non-exporter,Average,9.7,58.9,...,26.8,3.3,...,...,45.5,...,21.2,19.9,...,...,...
Angola,2010,Gender of Top Manager,,Top manager is female,Average,10.4,70.8,...,17.8,0.0,...,...,55.0,...,17.9,7.4,...,...,...
Angola,2010,Gender of Top Manager,,Top manager is male,Average,9.9,58.4,...,26.9,3.7,...,...,44.0,...,22.1,21.5,...,...,...
Angola,2010,Ownership Type,,Domestic,Average,9.2,65.8,...,0.0,1.1,...,...,57.6,...,17.2,13.8,...,...,...
Angola,2010,Ownership Type,,10% or more foreign ownership,Average,11.8,42.1,...,100.0,8.7,...,...,15.1,...,32.3,39.2,...,...,...
Albania,2007,,,,Average,7.7,85.4,...,16.5,0.0,...,...,18.6,...,24.6,26.3,...,...,...
Albania,2007,Sector,Manufacturing,All,Average,8.8,79.2,...,23.5,0.0,...,...,16.4,...,24.8,22.2,...,...,...
Albania,2007,Sector,Manufacturing,Manufacturing,Average,8.8,79.2,...,23.5,0.0,...,...,16.4,...,24.8,22.2,...,...,...
Albania,2007,Sector,Services,All,Average,7.2,88.7,...,12.8,0.1,...,...,19.7,...,24.5,28.5,...,...,...
Albania,2007,Sector,Services,Retail,Average,6.5,91.1,...,10.2,0.0,...,...,22.2,...,23.0,23.9,...,...,...
Albania,2007,Sector,Services,Other Services,Average,8.3,84.8,...,17.1,0.2,...,...,15.6,...,26.9,36.6,...,...,...
Albania,2007,Size,,Small (5-19),Average,6.8,93.1,...,7.3,0.1,...,...,25.9,...,18.2,20.2,...,...,...
Albania,2007,Size,,Medium (20-99),Average,9.9,71.3,...,35.4,0.0,...,...,1.2,...,38.5,34.1,...,...,...
Albania,2007,Size,,Large (100+),Average,10.9,48.1,...,52.2,0.0,...,...,0.7,...,50.2,72.7,...,...,...
Albania,2007,Location,,Durres,Average,8.1,89.8,...,17.1,0.0,...,...,5.8,...,19.1,69.3,...,...,...
Albania,2007,Location,,Elbasan,Average,8.0,91.1,...,19.4,0.0,...,...,5.9,...,60.5,52.6,...,...,...
Albania,2007,Location,,Fier,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Albania,2007,Location,,Gjirokastra,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Albania,2007,Location,,Korca,Average,9.4,87.5,...,25.0,0.0,...,...,0.0,...,33.3,n.a.,...,...,...
Albania,2007,Location,,Shkodra,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Albania,2007,Location,,Tirana,Average,7.8,85.0,...,16.2,0.0,...,...,19.6,...,23.6,22.5,...,...,...
Albania,2007,Location,,Vlora,Average,6.8,79.1,...,20.9,0.0,...,...,14.5,...,10.8,29.2,...,...,...
Albania,2007,Exporter Type,,Direct exports are 10% or more of sales,Average,9.0,73.6,...,28.2,0.0,...,...,0.3,...,16.0,16.4,...,...,...
Albania,2007,Exporter Type,,Non-exporter,Average,7.5,87.0,...,14.9,0.0,...,...,21.0,...,25.8,27.6,...,...,...
Albania,2007,Ownership Type,,Domestic,Average,7.7,100.0,...,0.0,0.0,...,...,21.7,...,24.7,18.5,...,...,...
Albania,2007,Ownership Type,,10% or more foreign ownership,Average,8.0,11.7,...,100.0,0.2,...,...,2.8,...,24.0,67.5,...,...,...
Albania,2013,,,,Average,10.3,94.2,...,5.3,0.0,...,...,6.9,...,18.8,16.7,...,...,...
Albania,2013,Sector,Manufacturing,All,Average,12.8,94.4,...,4.0,0.0,...,...,3.4,...,20.2,16.3,...,...,...
Albania,2013,Sector,Manufacturing,Manufacturing,Average,12.8,94.4,...,4.0,0.0,...,...,3.4,...,20.2,16.3,...,...,...
Albania,2013,Sector,Services,All,Average,8.9,94.2,...,6.0,0.0,...,...,8.6,...,18.1,16.9,...,...,...
Albania,2013,Sector,Services,Retail,Average,8.7,87.2,...,10.2,0.0,...,...,3.0,...,24.0,19.8,...,...,...
Albania,2013,Sector,Services,Other Services,Average,9.1,97.0,...,4.3,0.0,...,...,10.9,...,15.7,15.8,...,...,...
Albania,2013,Size,,Small (5-19),Average,9.1,94.9,...,4.4,0.0,...,...,9.0,...,14.9,12.0,...,...,...
Albania,2013,Size,,Medium (20-99),Average,13.6,95.9,...,3.9,0.0,...,...,0.0,...,25.3,28.9,...,...,...
Albania,2013,Size,,Large (100+),Average,14.6,77.0,...,24.9,0.0,...,...,0.0,...,56.2,38.1,...,...,...
Albania,2013,Location,,Durres And Shkoder,Average,9.2,87.8,...,17.7,0.0,...,...,0.0,...,37.6,11.8,...,...,...
Albania,2013,Location,,Elbasan And Korce,Average,9.5,100.0,...,0.0,0.0,...,...,20.3,...,18.0,11.2,...,...,...
Albania,2013,Location,,Fier And Vlore,Average,12.0,88.1,...,12.0,0.0,...,...,0.0,...,21.4,19.3,...,...,...
Albania,2013,Location,,Tirana,Average,10.4,94.6,...,3.8,0.0,...,...,5.8,...,15.5,18.4,...,...,...
Albania,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,13.0,84.2,...,14.7,0.0,...,...,0.0,...,27.0,19.7,...,...,...
Albania,2013,Exporter Type,,Non-exporter,Average,10.1,96.7,...,4.3,0.0,...,...,7.2,...,16.7,15.4,...,...,...
Albania,2013,Gender of Top Manager,,Top manager is female,Average,10.9,95.9,...,3.9,0.0,...,...,10.7,...,35.5,20.8,...,...,...
Albania,2013,Gender of Top Manager,,Top manager is male,Average,10.2,94.2,...,5.3,0.0,...,...,6.5,...,16.7,16.2,...,...,...
Albania,2013,Ownership Type,,Domestic,Average,10.3,98.0,...,0.0,0.0,...,...,7.3,...,16.6,16.1,...,...,...
Albania,2013,Ownership Type,,10% or more foreign ownership,Average,9.5,28.1,...,100.0,0.0,...,...,0.0,...,59.6,33.3,...,...,...
Argentina,2006,,,,Average,29.4,88.6,...,14.2,0.0,...,...,12.1,...,26.9,63.5,...,...,...
Argentina,2006,Sector,Manufacturing,All,Average,32.2,90.9,...,12.2,0.0,...,...,9.0,...,31.4,64.5,...,...,...
Argentina,2006,Sector,Manufacturing,Food,Average,35.9,88.2,...,14.6,0.0,...,...,9.3,...,39.1,68.7,...,...,...
Argentina,2006,Sector,Manufacturing,Textiles,Average,28.2,93.9,...,7.7,0.0,...,...,10.9,...,10.1,56.4,...,...,...
Argentina,2006,Sector,Manufacturing,Garments,Average,20.4,97.8,...,4.2,0.0,...,...,22.1,...,6.2,49.6,...,...,...
Argentina,2006,Sector,Manufacturing,Machinery & Equipment,Average,40.4,95.9,...,5.0,0.0,...,...,5.1,...,25.5,71.6,...,...,...
Argentina,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,31.6,90.8,...,12.5,0.0,...,...,8.7,...,31.8,64.1,...,...,...
Argentina,2006,Sector,Services,All,Average,22.7,83.4,...,18.6,0.2,...,...,19.3,...,16.2,61.1,...,...,...
Argentina,2006,Sector,Services,Retail,Average,24.7,92.6,...,9.2,0.0,...,...,22.6,...,22.2,52.0,...,...,...
Argentina,2006,Sector,Services,IT & IT Services,Average,13.2,70.2,...,32.1,1.8,...,...,2.4,...,33.4,85.8,...,...,...
Argentina,2006,Sector,Services,Rest of Universe-Services,Average,21.0,73.5,...,28.7,0.2,...,...,16.7,...,8.2,70.0,...,...,...
Argentina,2006,Size,,Small (5-19),Average,26.9,94.1,...,6.2,0.0,...,...,22.6,...,12.2,49.0,...,...,...
Argentina,2006,Size,,Medium (20-99),Average,29.6,87.8,...,17.5,0.0,...,...,3.5,...,32.6,71.3,...,...,...
Argentina,2006,Size,,Large (100+),Average,36.2,74.4,...,30.2,0.3,...,...,0.2,...,58.5,89.0,...,...,...
Argentina,2006,Location,,Buenos Aires,Average,30.1,87.3,...,15.6,0.0,...,...,9.7,...,30.1,63.7,...,...,...
Argentina,2006,Location,,Cordoba,Average,24.6,95.0,...,7.4,0.0,...,...,22.6,...,19.1,55.2,...,...,...
Argentina,2006,Location,,Mendoza,Average,24.2,87.4,...,16.4,0.0,...,...,13.5,...,13.1,59.9,...,...,...
Argentina,2006,Location,,Rosario,Average,32.4,94.9,...,6.3,0.6,...,...,20.4,...,19.8,73.5,...,...,...
Argentina,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,31.1,76.9,...,27.6,0.0,...,...,0.3,...,55.3,80.1,...,...,...
Argentina,2006,Exporter Type,,Non-exporter,Average,28.8,92.9,...,9.2,0.1,...,...,16.2,...,17.3,57.6,...,...,...
Argentina,2006,Ownership Type,,Domestic,Average,30.6,99.9,...,0.0,0.1,...,...,13.5,...,22.6,58.8,...,...,...
Argentina,2006,Ownership Type,,10% or more foreign ownership,Average,22.4,20.4,...,100.0,0.0,...,...,0.1,...,53.6,93.2,...,...,...
Argentina,2010,,,,Average,27.2,96.0,...,4.7,0.0,...,...,22.8,...,18.2,69.8,...,...,...
Argentina,2010,Sector,Manufacturing,All,Average,31.7,93.2,...,7.7,0.1,...,...,12.5,...,27.6,67.4,...,...,...
Argentina,2010,Sector,Manufacturing,Food,Average,34.4,97.5,...,2.5,0.0,...,...,20.7,...,21.0,58.8,...,...,...
Argentina,2010,Sector,Manufacturing,Textiles & Garments,Average,26.3,97.4,...,3.2,0.0,...,...,19.8,...,12.6,65.5,...,...,...
Argentina,2010,Sector,Manufacturing,"Chemicals, Plastics & Rubber",Average,33.7,85.8,...,15.4,0.0,...,...,0.1,...,41.9,89.1,...,...,...
Argentina,2010,Sector,Manufacturing,Basic Metals/Fabricated Metals/Machinery & Equip.,Average,31.5,91.0,...,10.9,0.0,...,...,9.4,...,34.0,71.1,...,...,...
Argentina,2010,Sector,Manufacturing,Other Manufacturing,Average,29.3,96.5,...,4.4,0.3,...,...,16.6,...,21.4,54.6,...,...,...
Argentina,2010,Sector,Services,All,Average,23.7,98.2,...,2.4,0.0,...,...,30.8,...,11.5,71.7,...,...,...
Argentina,2010,Sector,Services,Retail,Average,26.2,97.7,...,2.3,0.0,...,...,52.9,...,2.4,62.1,...,...,...
Argentina,2010,Sector,Services,Other Services,Average,22.6,98.4,...,2.4,0.0,...,...,21.4,...,15.3,75.8,...,...,...
Argentina,2010,Size,,Medium (20-99),Average,30.0,96.2,...,5.3,0.0,...,...,5.5,...,19.0,80.0,...,...,...
Argentina,2010,Size,,Small (5-19),Average,23.7,99.6,...,0.4,0.0,...,...,38.9,...,8.8,59.1,...,...,...
Argentina,2010,Size,,Large (100+),Average,35.6,76.2,...,25.8,0.3,...,...,0.1,...,65.0,90.7,...,...,...
Argentina,2010,Location,,Buenos Aires,Average,30.4,91.2,...,10.5,0.1,...,...,6.5,...,23.9,74.5,...,...,...
Argentina,2010,Location,,Chaco,Average,21.0,100.0,...,0.0,0.0,...,...,41.7,...,0.0,68.4,...,...,...
Argentina,2010,Location,,Cordoba,Average,33.3,99.6,...,0.4,0.0,...,...,42.8,...,19.1,44.3,...,...,...
Argentina,2010,Location,,Mendoza,Average,25.1,98.5,...,1.7,0.0,...,...,15.7,...,37.1,76.4,...,...,...
Argentina,2010,Location,,Rosario,Average,31.9,97.7,...,2.5,0.0,...,...,10.2,...,46.6,77.4,...,...,...
Argentina,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,26.9,85.2,...,17.9,0.0,...,...,0.7,...,36.6,84.6,...,...,...
Argentina,2010,Exporter Type,,Non-exporter,Average,27.2,98.0,...,2.3,0.0,...,...,26.9,...,14.8,67.1,...,...,...
Argentina,2010,Gender of Top Manager,,Top manager is female,Average,23.0,99.6,...,0.5,0.0,...,...,46.1,...,11.8,73.7,...,...,...
Argentina,2010,Gender of Top Manager,,Top manager is male,Average,27.6,95.7,...,5.2,0.0,...,...,20.2,...,18.9,69.7,...,...,...
Argentina,2010,Ownership Type,,Domestic,Average,27.2,100.0,...,0.0,0.0,...,...,24.0,...,16.5,68.4,...,...,...
Argentina,2010,Ownership Type,,10% or more foreign ownership,Average,27.4,16.4,...,100.0,0.1,...,...,0.0,...,51.4,98.4,...,...,...
Armenia,2009,,,,Average,9.6,89.9,...,10.8,1.3,...,...,4.2,...,26.9,19.1,...,...,...
Armenia,2009,Sector,Manufacturing,All,Average,13.7,94.3,...,9.6,0.0,...,...,1.6,...,35.2,22.0,...,...,...
Armenia,2009,Sector,Manufacturing,Manufacturing,Average,13.7,94.3,...,9.6,0.0,...,...,1.6,...,35.2,22.0,...,...,...
Armenia,2009,Sector,Services,All,Average,8.2,88.4,...,11.3,1.8,...,...,5.1,...,24.1,18.1,...,...,...
Armenia,2009,Sector,Services,Retail,Average,8.3,93.0,...,6.8,0.0,...,...,9.3,...,16.8,17.1,...,...,...
Armenia,2009,Sector,Services,Other Services,Average,8.2,86.0,...,13.5,2.7,...,...,3.0,...,27.9,18.7,...,...,...
Armenia,2009,Size,,Small (5-19),Average,8.2,93.0,...,9.1,0.0,...,...,6.8,...,17.3,10.0,...,...,...
Armenia,2009,Size,,Medium (20-99),Average,10.3,84.8,...,12.7,3.3,...,...,1.6,...,31.8,24.6,...,...,...
Armenia,2009,Size,,Large (100+),Average,14.1,90.1,...,13.6,2.0,...,...,0.0,...,56.3,45.0,...,...,...
Armenia,2009,Location,,North,Average,9.9,77.8,...,0.0,0.0,...,...,8.9,...,37.7,9.1,...,...,...
Armenia,2009,Location,,South-East,Average,9.2,95.0,...,2.9,0.0,...,...,5.1,...,13.1,19.2,...,...,...
Armenia,2009,Location,,South-West,Average,11.3,77.9,...,14.4,17.5,...,...,10.3,...,26.2,45.7,...,...,...
Armenia,2009,Location,,Yerevan,Average,9.5,90.7,...,11.6,0.3,...,...,3.6,...,27.8,17.4,...,...,...
Armenia,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,11.4,89.8,...,13.5,1.6,...,...,4.8,...,28.2,13.7,...,...,...
Armenia,2009,Exporter Type,,Non-exporter,Average,9.3,89.9,...,10.4,1.3,...,...,4.2,...,26.7,19.9,...,...,...
Armenia,2009,Gender of Top Manager,,Top manager is female,Average,7.8,96.5,...,1.7,0.0,...,...,8.4,...,12.5,13.7,...,...,...
Armenia,2009,Gender of Top Manager,,Top manager is male,Average,9.9,88.8,...,12.3,1.5,...,...,3.6,...,29.2,20.0,...,...,...
Armenia,2009,Ownership Type,,Domestic,Average,9.8,97.2,...,0.0,1.2,...,...,4.3,...,24.4,17.5,...,...,...
Armenia,2009,Ownership Type,,10% or more foreign ownership,Average,7.8,29.0,...,100.0,2.2,...,...,4.3,...,43.9,33.9,...,...,...
Armenia,2013,,,,Average,13.7,95.2,...,7.4,0.0,...,...,0.7,...,23.6,20.1,...,...,...
Armenia,2013,Sector,Manufacturing,All,Average,17.1,94.2,...,10.3,0.0,...,...,0.0,...,25.6,21.3,...,...,...
Armenia,2013,Sector,Manufacturing,Manufacturing,Average,17.1,94.2,...,10.3,0.0,...,...,0.0,...,25.6,21.3,...,...,...
Armenia,2013,Sector,Services,All,Average,12.2,95.6,...,6.1,0.0,...,...,1.0,...,22.8,19.6,...,...,...
Armenia,2013,Sector,Services,Retail,Average,11.8,94.9,...,8.5,0.0,...,...,2.6,...,19.4,28.2,...,...,...
Armenia,2013,Sector,Services,Other Services,Average,12.5,96.0,...,4.7,0.0,...,...,0.0,...,24.9,14.4,...,...,...
Armenia,2013,Size,,Small (5-19),Average,12.1,96.7,...,4.8,0.0,...,...,1.5,...,21.4,10.4,...,...,...
Armenia,2013,Size,,Medium (20-99),Average,14.5,96.5,...,6.0,0.0,...,...,0.0,...,19.9,24.8,...,...,...
Armenia,2013,Size,,Large (100+),Average,17.0,84.7,...,21.4,0.0,...,...,0.0,...,44.7,40.8,...,...,...
Armenia,2013,Location,, North,Average,14.1,95.5,...,4.5,0.0,...,...,0.0,...,23.6,26.1,...,...,...
Armenia,2013,Location,,South East,Average,13.8,100.0,...,0.0,0.0,...,...,0.0,...,6.9,8.0,...,...,...
