Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with female participation in ownership,Percent of firms with majority female ownership,Percent of firms with a female top manager,Proportion of permanent full-time workers that are female (%),Proportion of permanent full-time production workers that are female (%)*,Proportion of permanent full-time non-production workers that are female (%)*
Angola,2006,Location,,Huambo,Average,17.1,...,...,15.9,11.1,47.5
Angola,2006,Location,,Luanda,Average,22.6,...,...,16.4,13.7,30.5
Angola,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,...,...,...,...,...
Angola,2006,Exporter Type,,Non-exporter,Average,23.4,...,...,16.3,13.6,31.9
Angola,2006,Ownership Type,,Domestic,Average,22.2,...,...,16.0,13.4,31.0
Angola,2006,Ownership Type,,10% or more foreign ownership,Average,30.1,...,...,20.8,16.5,40.8
Angola,2010,,,,Average,56.6,9.3,13.5,51.0,49.5,58.5
Angola,2010,Sector,Manufacturing,All,Average,55.6,8.6,10.6,58.7,49.5,58.5
Angola,2010,Sector,Manufacturing,Manufacturing,Average,55.6,8.6,10.6,58.7,49.5,58.5
Angola,2010,Sector,Services,All,Average,57.1,9.7,15.0,47.4,...,...
Angola,2010,Sector,Services,Retail,Average,65.8,19.4,26.6,48.8,...,...
Angola,2010,Sector,Services,Other Services,Average,54.7,7.1,11.7,47.0,...,...
Angola,2010,Size,,Small (5-19),Average,55.4,15.5,21.8,58.9,51.7,60.9
Angola,2010,Size,,Medium (20-99),Average,53.8,1.4,3.0,41.4,48.1,59.2
Angola,2010,Size,,Large (100+),Average,71.1,4.9,7.2,40.9,43.3,48.7
Angola,2010,Location,,Benguela,Average,83.4,25.6,31.5,39.8,29.2,57.8
Angola,2010,Location,,Huambo,Average,57.0,4.2,0.0,49.8,38.6,n.a.
Angola,2010,Location,,Luanda,Average,54.1,8.0,12.3,52.2,52.9,58.8
Angola,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,56.2,5.7,0.0,n.a.,n.a.,n.a.
Angola,2010,Exporter Type,,Non-exporter,Average,56.3,9.7,13.4,51.2,50.9,59.7
Angola,2010,Gender of Top Manager,,Top manager is female,Average,100.0,59.8,100.0,68.1,54.2,72.5
Angola,2010,Gender of Top Manager,,Top manager is male,Average,50.4,1.6,0.0,48.1,48.4,57.4
Angola,2010,Ownership Type,,Domestic,Average,56.6,11.2,14.5,51.5,53.5,57.4
Angola,2010,Ownership Type,,10% or more foreign ownership,Average,55.8,3.2,9.3,48.4,37.4,60.4
Albania,2007,,,,Average,10.8,...,...,37.5,40.1,37.5
Albania,2007,Sector,Manufacturing,All,Average,10.0,...,...,37.5,40.1,37.5
Albania,2007,Sector,Manufacturing,Manufacturing,Average,10.0,...,...,37.5,40.1,37.5
Albania,2007,Sector,Services,All,Average,11.2,...,...,...,...,...
Albania,2007,Sector,Services,Retail,Average,11.5,...,...,...,...,...
Albania,2007,Sector,Services,Other Services,Average,10.7,...,...,...,...,...
Albania,2007,Size,,Small (5-19),Average,8.7,...,...,28.6,29.1,37.4
Albania,2007,Size,,Medium (20-99),Average,12.7,...,...,44.5,48.9,34.8
Albania,2007,Size,,Large (100+),Average,30.2,...,...,51.6,58.6,46.7
Albania,2007,Location,,Durres,Average,11.5,...,...,37.5,37.0,37.4
Albania,2007,Location,,Elbasan,Average,5.9,...,...,40.7,32.5,63.1
Albania,2007,Location,,Fier,Average,n.a.,...,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Gjirokastra,Average,n.a.,...,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Korca,Average,12.5,...,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Shkodra,Average,n.a.,...,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Tirana,Average,11.0,...,...,36.8,41.7,34.3
Albania,2007,Location,,Vlora,Average,15.4,...,...,52.3,47.3,n.a.
Albania,2007,Exporter Type,,Direct exports are 10% or more of sales,Average,17.1,...,...,73.6,77.3,66.2
Albania,2007,Exporter Type,,Non-exporter,Average,10.0,...,...,28.1,30.5,30.5
Albania,2007,Ownership Type,,Domestic,Average,11.7,...,...,32.6,34.6,38.5
Albania,2007,Ownership Type,,10% or more foreign ownership,Average,5.6,...,...,52.8,57.0,34.5
Albania,2013,,,,Average,12.5,7.9,11.7,48.5,69.0,70.7
Albania,2013,Sector,Manufacturing,All,Average,12.4,6.8,10.5,66.6,69.0,70.7
Albania,2013,Sector,Manufacturing,Manufacturing,Average,12.4,6.8,10.5,66.6,69.0,70.7
Albania,2013,Sector,Services,All,Average,12.6,8.5,12.2,40.1,...,...
Albania,2013,Sector,Services,Retail,Average,13.9,9.6,13.2,51.4,...,...
Albania,2013,Sector,Services,Other Services,Average,12.0,8.1,11.8,35.4,...,...
Albania,2013,Size,,Small (5-19),Average,13.8,8.9,11.5,46.1,62.9,70.9
Albania,2013,Size,,Medium (20-99),Average,3.4,0.8,5.9,56.0,75.3,72.8
Albania,2013,Size,,Large (100+),Average,28.6,20.6,36.6,60.7,83.6,58.3
Albania,2013,Location,,Durres And Shkoder,Average,5.3,2.3,4.4,42.6,49.9,54.9
Albania,2013,Location,,Elbasan And Korce,Average,14.0,8.3,11.2,45.5,74.4,63.4
Albania,2013,Location,,Fier And Vlore,Average,4.6,1.9,13.1,50.5,68.4,49.3
Albania,2013,Location,,Tirana,Average,14.1,9.3,12.8,50.0,71.2,76.9
Albania,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,17.4,14.7,19.4,63.0,81.7,78.9
Albania,2013,Exporter Type,,Non-exporter,Average,12.0,7.5,11.3,46.8,69.0,68.8
Albania,2013,Gender of Top Manager,,Top manager is female,Average,85.0,66.7,100.0,54.8,81.4,96.9
Albania,2013,Gender of Top Manager,,Top manager is male,Average,3.0,0.1,0.0,47.7,67.2,67.9
Albania,2013,Ownership Type,,Domestic,Average,12.6,8.4,11.8,47.9,68.0,71.4
Albania,2013,Ownership Type,,10% or more foreign ownership,Average,10.7,0.0,8.9,58.6,n.a.,n.a.
Argentina,2006,,,,Average,30.3,...,...,21.7,14.9,46.5
Argentina,2006,Sector,Manufacturing,All,Average,32.8,...,...,21.7,14.9,46.5
Argentina,2006,Sector,Manufacturing,Food,Average,26.0,...,...,21.8,17.7,44.6
Argentina,2006,Sector,Manufacturing,Textiles,Average,46.4,...,...,29.1,24.3,44.5
Argentina,2006,Sector,Manufacturing,Garments,Average,41.4,...,...,51.3,52.2,53.4
Argentina,2006,Sector,Manufacturing,Machinery & Equipment,Average,22.7,...,...,9.2,2.9,27.6
Argentina,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,33.9,...,...,20.9,13.0,48.0
Argentina,2006,Sector,Services,All,Average,24.1,...,...,...,...,...
Argentina,2006,Sector,Services,Retail,Average,33.4,...,...,...,...,...
Argentina,2006,Sector,Services,IT & IT Services,Average,22.0,...,...,...,...,...
Argentina,2006,Sector,Services,Rest of Universe-Services,Average,12.8,...,...,...,...,...
Argentina,2006,Size,,Small (5-19),Average,27.1,...,...,17.0,9.0,50.0
Argentina,2006,Size,,Medium (20-99),Average,35.9,...,...,25.7,18.1,46.0
Argentina,2006,Size,,Large (100+),Average,26.2,...,...,24.7,22.8,39.2
Argentina,2006,Location,,Buenos Aires,Average,31.6,...,...,22.0,14.9,47.1
Argentina,2006,Location,,Cordoba,Average,24.4,...,...,21.3,16.5,42.9
Argentina,2006,Location,,Mendoza,Average,14.5,...,...,32.1,26.3,47.7
Argentina,2006,Location,,Rosario,Average,39.4,...,...,13.8,8.9,38.5
Argentina,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,34.5,...,...,26.5,19.9,44.7
Argentina,2006,Exporter Type,,Non-exporter,Average,29.0,...,...,19.5,12.7,47.4
Argentina,2006,Ownership Type,,Domestic,Average,31.5,...,...,21.7,14.9,46.4
Argentina,2006,Ownership Type,,10% or more foreign ownership,Average,20.0,...,...,22.8,15.4,44.5
Argentina,2010,,,,Average,38.0,...,9.2,20.3,11.1,38.6
Argentina,2010,Sector,Manufacturing,All,Average,31.9,...,6.1,18.6,11.1,38.6
Argentina,2010,Sector,Manufacturing,Food,Average,46.5,...,4.7,18.7,9.0,36.8
Argentina,2010,Sector,Manufacturing,Textiles & Garments,Average,33.7,...,13.5,43.7,42.1,43.1
Argentina,2010,Sector,Manufacturing,"Chemicals, Plastics & Rubber",Average,26.1,...,4.2,23.2,13.5,39.7
Argentina,2010,Sector,Manufacturing,Basic Metals/Fabricated Metals/Machinery & Equip.,Average,29.6,...,5.7,11.2,2.6,36.2
Argentina,2010,Sector,Manufacturing,Other Manufacturing,Average,25.7,...,7.4,14.8,10.1,40.3
Argentina,2010,Sector,Services,All,Average,42.6,...,11.6,21.7,...,...
Argentina,2010,Sector,Services,Retail,Average,47.3,...,13.8,26.5,...,...
Argentina,2010,Sector,Services,Other Services,Average,40.6,...,10.7,19.7,...,...
Argentina,2010,Size,,Medium (20-99),Average,30.4,...,6.9,17.1,10.1,35.7
Argentina,2010,Size,,Small (5-19),Average,46.9,...,11.9,22.5,10.8,43.2
Argentina,2010,Size,,Large (100+),Average,16.3,...,3.6,20.9,15.1,35.3
Argentina,2010,Location,,Buenos Aires,Average,27.9,...,6.6,20.1,11.2,36.8
Argentina,2010,Location,,Chaco,Average,54.3,...,14.6,19.4,5.0,42.1
Argentina,2010,Location,,Cordoba,Average,20.0,...,1.6,23.6,10.5,48.1
Argentina,2010,Location,,Mendoza,Average,60.9,...,14.1,19.0,16.9,36.0
Argentina,2010,Location,,Rosario,Average,16.4,...,3.9,22.6,10.9,37.3
Argentina,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,35.4,...,2.1,21.4,12.0,33.5
Argentina,2010,Exporter Type,,Non-exporter,Average,38.5,...,10.5,20.1,10.8,40.2
Argentina,2010,Gender of Top Manager,,Top manager is female,Average,92.3,...,100.0,28.8,12.2,52.7
Argentina,2010,Gender of Top Manager,,Top manager is male,Average,32.1,...,0.0,19.3,10.6,37.5
Argentina,2010,Ownership Type,,Domestic,Average,39.3,...,9.6,20.3,11.5,39.1
Argentina,2010,Ownership Type,,10% or more foreign ownership,Average,8.3,...,1.0,20.6,5.2,32.3
Armenia,2009,,,,Average,31.8,...,13.5,36.9,27.7,37.7
Armenia,2009,Sector,Manufacturing,All,Average,36.0,...,4.1,31.9,27.7,37.7
Armenia,2009,Sector,Manufacturing,Manufacturing,Average,36.0,...,4.1,31.9,27.7,37.7
Armenia,2009,Sector,Services,All,Average,30.3,...,16.7,38.5,...,...
Armenia,2009,Sector,Services,Retail,Average,38.9,...,21.8,50.0,...,...
Armenia,2009,Sector,Services,Other Services,Average,25.9,...,14.0,32.7,...,...
Armenia,2009,Size,,Small (5-19),Average,32.9,...,20.9,40.4,26.1,29.1
Armenia,2009,Size,,Medium (20-99),Average,29.1,...,4.1,32.0,25.8,45.3
Armenia,2009,Size,,Large (100+),Average,34.3,...,7.0,34.9,34.4,40.1
Armenia,2009,Location,,North,Average,38.9,...,24.0,33.7,38.1,41.2
Armenia,2009,Location,,South-East,Average,32.2,...,10.7,47.0,42.9,39.0
Armenia,2009,Location,,South-West,Average,43.0,...,18.8,33.8,36.7,41.1
Armenia,2009,Location,,Yerevan,Average,30.7,...,13.0,36.3,24.0,37.1
Armenia,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,41.8,...,21.5,27.5,20.1,34.8
Armenia,2009,Exporter Type,,Non-exporter,Average,30.0,...,12.2,38.5,32.7,39.2
Armenia,2009,Gender of Top Manager,,Top manager is female,Average,73.1,...,100.0,56.7,63.0,36.4
Armenia,2009,Gender of Top Manager,,Top manager is male,Average,25.3,...,0.0,33.8,26.1,37.8
Armenia,2009,Ownership Type,,Domestic,Average,33.9,...,15.0,37.1,27.7,37.4
Armenia,2009,Ownership Type,,10% or more foreign ownership,Average,15.4,...,2.1,35.3,26.5,40.8
Armenia,2013,,,,Average,25.3,14.5,19.1,46.4,34.9,49.6
Armenia,2013,Sector,Manufacturing,All,Average,18.6,3.7,11.6,38.3,34.9,49.6
Armenia,2013,Sector,Manufacturing,Manufacturing,Average,18.6,3.7,11.6,38.3,34.9,49.6
Armenia,2013,Sector,Services,All,Average,28.2,19.2,22.3,49.9,...,...
Armenia,2013,Sector,Services,Retail,Average,31.4,18.8,22.4,54.3,...,...
Armenia,2013,Sector,Services,Other Services,Average,26.3,19.4,22.3,47.2,...,...
Armenia,2013,Size,,Small (5-19),Average,26.5,16.0,21.6,50.4,28.8,50.2
Armenia,2013,Size,,Medium (20-99),Average,27.0,17.2,19.8,41.6,36.5,48.3
Armenia,2013,Size,,Large (100+),Average,14.6,0.0,7.1,46.6,43.5,50.6
Armenia,2013,Location,, North,Average,30.7,18.2,18.2,40.7,n.a.,n.a.
Armenia,2013,Location,,South East,Average,9.6,5.6,4.8,45.4,56.7,46.7
Armenia,2013,Location,,South West,Average,0.0,0.0,2.9,42.4,41.7,43.9
Armenia,2013,Location,,Yerevan,Average,28.6,16.4,21.9,47.2,30.2,52.1
Armenia,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,10.4,0.0,2.5,36.3,31.5,32.4
Armenia,2013,Exporter Type,,Non-exporter,Average,26.4,15.4,20.6,47.0,35.5,52.5
Armenia,2013,Gender of Top Manager,,Top manager is female,Average,82.5,67.0,100.0,58.9,52.4,67.1
Armenia,2013,Gender of Top Manager,,Top manager is male,Average,11.7,1.8,0.0,43.3,32.8,47.7
Armenia,2013,Ownership Type,,Domestic,Average,25.7,15.1,19.3,46.7,34.7,49.2
Armenia,2013,Ownership Type,,10% or more foreign ownership,Average,19.7,6.8,16.7,43.9,36.9,53.8
Antigua and Barbuda,2010,,,,Average,21.3,...,17.5,44.6,...,...
Antigua and Barbuda,2010,Sector,Manufacturing,All,Average,11.7,...,6.0,27.5,...,...
Antigua and Barbuda,2010,Sector,Manufacturing,Manufacturing,Average,11.7,...,6.0,27.5,...,...
Antigua and Barbuda,2010,Sector,Services,All,Average,22.4,...,18.9,46.6,...,...
Antigua and Barbuda,2010,Sector,Services,Services,Average,22.4,...,18.9,46.6,...,...
Antigua and Barbuda,2010,Size,,Small (5-19),Average,24.8,...,22.3,43.5,...,...
Antigua and Barbuda,2010,Size,,Medium (20-99),Average,13.7,...,5.7,46.7,...,...
Antigua and Barbuda,2010,Size,,Large (100+),Average,0.0,...,0.0,n.a.,...,...
Antigua and Barbuda,2010,Location,,Entire Country,Average,21.3,...,17.5,44.6,...,...
Antigua and Barbuda,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,15.7,...,10.0,41.7,...,...
Antigua and Barbuda,2010,Exporter Type,,Non-exporter,Average,22.5,...,19.1,45.2,...,...
Antigua and Barbuda,2010,Gender of Top Manager,,Top manager is female,Average,73.5,...,100.0,48.9,...,...
Antigua and Barbuda,2010,Gender of Top Manager,,Top manager is male,Average,10.2,...,0.0,43.7,...,...
Antigua and Barbuda,2010,Ownership Type,,Domestic,Average,23.3,...,18.1,43.1,...,...
Antigua and Barbuda,2010,Ownership Type,,10% or more foreign ownership,Average,0.0,...,3.8,51.1,...,...
Azerbaijan,2009,,,,Average,10.8,...,4.7,30.2,38.8,28.9
Azerbaijan,2009,Sector,Manufacturing,All,Average,11.7,...,6.5,36.7,38.8,28.9
Azerbaijan,2009,Sector,Manufacturing,Manufacturing,Average,11.7,...,6.5,36.7,38.8,28.9
Azerbaijan,2009,Sector,Services,All,Average,10.4,...,4.0,27.6,...,...
Azerbaijan,2009,Sector,Services,Retail,Average,15.7,...,4.0,41.7,...,...
Azerbaijan,2009,Sector,Services,Other Services,Average,7.7,...,4.1,20.2,...,...
Azerbaijan,2009,Size,,Small (5-19),Average,10.1,...,4.6,31.6,40.1,23.5
Azerbaijan,2009,Size,,Medium (20-99),Average,11.5,...,6.4,27.4,36.4,35.5
Azerbaijan,2009,Size,,Large (100+),Average,13.0,...,0.0,30.1,39.3,32.3
Azerbaijan,2009,Location,,Aranski & Gorno-Shirvanski,Average,6.1,...,1.5,22.2,42.6,12.7
Azerbaijan,2009,Location,,Baku & Apsheronski,Average,9.9,...,5.5,32.3,36.5,33.0
Azerbaijan,2009,Location,,Giandja-Kazakhski & Sheki-Zakatalski,Average,16.7,...,6.0,32.8,51.6,29.4
Azerbaijan,2009,Location,,Lenkoranski & Kuba-Khachmazski,Average,16.4,...,0.7,20.6,23.5,21.0
Azerbaijan,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,24.1,...,15.2,34.7,34.7,43.6
Azerbaijan,2009,Exporter Type,,Non-exporter,Average,10.4,...,4.4,30.1,39.1,27.8
Azerbaijan,2009,Gender of Top Manager,,Top manager is female,Average,85.8,...,100.0,38.4,40.7,n.a.
Azerbaijan,2009,Gender of Top Manager,,Top manager is male,Average,6.9,...,0.0,29.8,38.7,27.3
Azerbaijan,2009,Ownership Type,,Domestic,Average,10.0,...,4.3,30.5,40.3,26.2
Azerbaijan,2009,Ownership Type,,10% or more foreign ownership,Average,18.6,...,9.4,26.9,31.5,42.3
Azerbaijan,2013,,,,Average,4.5,2.0,2.4,31.3,33.0,36.4
Azerbaijan,2013,Sector,Manufacturing,All,Average,4.0,2.2,3.9,33.2,33.0,36.4
Azerbaijan,2013,Sector,Manufacturing,Manufacturing,Average,4.0,2.2,3.9,33.2,33.0,36.4
Azerbaijan,2013,Sector,Services,All,Average,4.6,2.0,1.9,30.7,...,...
Azerbaijan,2013,Sector,Services,Retail,Average,4.9,2.7,3.6,39.5,...,...
Azerbaijan,2013,Sector,Services,Other Services,Average,4.5,1.7,1.3,26.8,...,...
Azerbaijan,2013,Size,,Small (5-19),Average,3.6,1.2,1.6,33.0,35.4,34.4
Azerbaijan,2013,Size,,Medium (20-99),Average,6.5,3.5,3.8,28.5,29.0,38.1
Azerbaijan,2013,Size,,Large (100+),Average,0.0,0.0,0.0,31.4,41.9,37.4
Azerbaijan,2013,Location,,Aranski & Gorno-Shirvanski,Average,0.0,0.0,0.0,33.6,44.5,34.9
Azerbaijan,2013,Location,,Baku & Apsheronski,Average,1.8,1.6,2.8,32.6,26.7,38.5
Azerbaijan,2013,Location,,Giandja-Kazakhski & Sheki-Zakatalski,Average,18.4,6.5,2.9,26.4,62.0,28.7
Azerbaijan,2013,Location,,Lenkoranski & Kuba-Khachmazski,Average,10.9,1.2,1.2,26.6,24.4,33.8
Azerbaijan,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,0.0,0.0,0.0,27.7,n.a.,n.a.
Azerbaijan,2013,Exporter Type,,Non-exporter,Average,4.5,2.0,2.4,31.3,33.1,36.3
Azerbaijan,2013,Gender of Top Manager,,Top manager is female,Average,72.3,66.2,100.0,36.5,n.a.,n.a.
Azerbaijan,2013,Gender of Top Manager,,Top manager is male,Average,2.8,0.4,0.0,31.1,32.9,36.2
Azerbaijan,2013,Ownership Type,,Domestic,Average,4.5,2.0,2.4,31.3,33.0,36.4
Burundi,2006,,,,Average,34.8,...,...,11.0,8.5,19.5
Burundi,2006,Sector,Manufacturing,All,Average,24.4,...,...,11.0,8.5,19.5
Burundi,2006,Sector,Manufacturing,Food,Average,18.1,...,...,15.0,15.2,21.4
Burundi,2006,Sector,Manufacturing,Garments,Average,52.2,...,...,16.1,14.8,25.5
Burundi,2006,Sector,Manufacturing,Other Manufacturing,Average,19.3,...,...,7.6,3.3,17.2
Burundi,2006,Sector,Services,All,Average,37.3,...,...,...,...,...
Burundi,2006,Sector,Services,Retail,Average,33.4,...,...,...,...,...
Burundi,2006,Sector,Services,Other Services,Average,39.1,...,...,...,...,...
Burundi,2006,Size,,Small (5-19),Average,35.8,...,...,11.2,9.0,18.3
Burundi,2006,Size,,Medium (20-99),Average,30.7,...,...,10.6,7.9,25.0
Burundi,2006,Size,,Large (100+),Average,26.4,...,...,n.a.,n.a.,12.9
Burundi,2006,Location,,Bujumbura,Average,34.8,...,...,11.0,8.5,19.5
Burundi,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,...,...,n.a.,n.a.,n.a.
Burundi,2006,Exporter Type,,Non-exporter,Average,35.2,...,...,11.0,8.6,19.4
Burundi,2006,Ownership Type,,Domestic,Average,36.6,...,...,11.2,9.7,19.9
Burundi,2006,Ownership Type,,10% or more foreign ownership,Average,25.2,...,...,10.1,4.5,18.5
Burundi,2014,,,,Average,44.0,9.3,16.3,24.6,8.9,45.7
Burundi,2014,Sector,Manufacturing,All,Average,35.1,6.4,12.1,17.9,8.9,45.7
Burundi,2014,Sector,Manufacturing,Manufacturing,Average,35.1,6.4,12.1,17.9,8.9,45.7
Burundi,2014,Sector,Services,All,Average,45.3,9.7,16.9,25.5,...,...
Burundi,2014,Sector,Services,Services,Average,45.3,9.7,16.9,25.5,...,...
Burundi,2014,Size,,Small (5-19),Average,41.9,8.2,22.9,29.6,17.6,40.8
Burundi,2014,Size,,Medium (20-99),Average,31.8,8.6,5.1,18.9,7.0,47.5
Burundi,2014,Size,,Large (100+),Average,97.1,17.8,20.9,17.5,n.a.,n.a.
Burundi,2014,Location,,Bujumbura,Average,47.5,8.0,15.7,24.2,9.1,45.3
Burundi,2014,Location,,Gitega,Average,13.8,11.5,17.2,30.7,n.a.,n.a.
Burundi,2014,Location,,Ngozi,Average,31.6,20.7,22.7,23.0,n.a.,n.a.
Burundi,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,61.4,5.1,27.2,22.3,10.1,42.9
Burundi,2014,Exporter Type,,Non-exporter,Average,42.6,9.7,15.5,24.7,8.7,46.2
Burundi,2014,Gender of Top Manager,,Top manager is female,Average,84.0,44.6,100.0,24.8,7.9,51.7
Burundi,2014,Gender of Top Manager,,Top manager is male,Average,36.2,2.4,0.0,24.5,9.0,44.9
Burundi,2014,Ownership Type,,Domestic,Average,41.9,9.2,14.7,24.6,8.0,50.5
Burundi,2014,Ownership Type,,10% or more foreign ownership,Average,52.0,9.8,22.4,24.4,12.4,24.8
