Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Senior management time spent dealing with the requirements of government regulation (%),Number of visits or required meetings with tax officials,Percent of firms visited or required to meet with tax officials,"If there were visits, average number of visits or required meetings with tax officials",Days to obtain an operating license,Days to obtain a construction-related permit,Days to obtain an import license,Percent of firms identifying tax rates as a major constraint,Percent of firms identifying tax administration as a major constraint,Percent of firms identifying business licensing and permits as a major constraint
Angola,2006,Location,,Luanda,Average,7.8,...,62.0,5.5,40.1,57.4,27.2,24.4,21.9,33.2
Angola,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,...,n.a.,n.a.,n.a.,...,n.a.,n.a.,n.a.,n.a.
Angola,2006,Exporter Type,,Non-exporter,Average,7.1,...,68.3,4.9,24.4,42.1,24.3,23.0,18.1,33.4
Angola,2006,Ownership Type,,Domestic,Average,6.9,...,65.7,4.9,21.5,42.8,21.5,24.7,19.0,33.7
Angola,2006,Ownership Type,,10% or more foreign ownership,Average,8.4,...,85.8,4.7,34.5,39.2,30.5,13.3,13.0,30.7
Angola,2010,,,,Average,12.2,...,66.9,3.7,34.7,11.5,28.8,26.4,30.0,41.8
Angola,2010,Sector,Manufacturing,All,Average,13.5,...,64.9,3.7,35.3,10.2,18.2,26.1,26.5,44.7
Angola,2010,Sector,Manufacturing,Manufacturing,Average,13.5,...,64.9,3.7,35.3,10.2,18.2,26.1,26.5,44.7
Angola,2010,Sector,Services,All,Average,11.6,...,67.9,3.8,34.5,12.1,31.4,26.5,31.8,40.4
Angola,2010,Sector,Services,Retail,Average,11.6,...,66.4,3.5,n.a.,8.9,33.3,29.6,33.1,39.5
Angola,2010,Sector,Services,Other Services,Average,11.5,...,68.3,3.8,31.0,13.0,31.1,25.6,31.5,40.6
Angola,2010,Size,,Small (5-19),Average,9.3,...,63.3,3.8,41.7,11.4,36.1,21.9,29.0,39.1
Angola,2010,Size,,Medium (20-99),Average,14.7,...,77.8,3.6,30.6,14.6,23.5,33.7,34.8,44.6
Angola,2010,Size,,Large (100+),Average,17.2,...,49.5,3.8,n.a.,8.1,22.9,24.3,19.8,46.0
Angola,2010,Location,,Benguela,Average,42.7,...,98.5,6.3,18.4,16.4,20.0,91.7,86.7,77.3
Angola,2010,Location,,Huambo,Average,7.8,...,70.5,4.8,n.a.,n.a.,n.a.,6.1,5.8,28.5
Angola,2010,Location,,Luanda,Average,8.9,...,64.1,3.4,38.6,7.8,30.2,21.0,25.7,38.9
Angola,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,...,35.8,n.a.,...,n.a.,n.a.,0.0,0.0,38.1
Angola,2010,Exporter Type,,Non-exporter,Average,11.7,...,68.0,3.8,32.7,11.6,28.9,27.2,31.3,42.0
Angola,2010,Gender of Top Manager,,Top manager is female,Average,12.9,...,57.9,4.5,n.a.,12.5,35.2,23.7,31.4,40.1
Angola,2010,Gender of Top Manager,,Top manager is male,Average,12.0,...,69.1,3.5,35.0,11.4,28.3,26.1,28.6,41.6
Angola,2010,Ownership Type,,Domestic,Average,11.4,...,68.0,3.7,34.5,11.1,32.9,22.4,24.2,37.2
Angola,2010,Ownership Type,,10% or more foreign ownership,Average,13.9,...,65.4,3.9,24.6,12.1,21.2,35.7,47.4,53.6
Albania,2007,,,,Average,18.7,...,86.8,4.6,21.2,96.8,20.5,28.8,20.3,10.6
Albania,2007,Sector,Manufacturing,All,Average,18.1,...,83.1,3.8,16.9,84.4,30.1,25.7,13.1,10.3
Albania,2007,Sector,Manufacturing,Manufacturing,Average,18.1,...,83.1,3.8,16.9,84.4,30.1,25.7,13.1,10.3
Albania,2007,Sector,Services,All,Average,18.9,...,88.9,5.1,22.8,102.7,17.7,30.4,24.2,10.9
Albania,2007,Sector,Services,Retail,Average,18.2,...,87.2,5.7,24.9,140.8,16.5,29.0,21.6,9.6
Albania,2007,Sector,Services,Other Services,Average,20.1,...,91.6,4.4,18.3,61.6,18.7,32.8,28.4,12.9
Albania,2007,Size,,Small (5-19),Average,17.5,...,85.8,4.9,26.7,109.7,20.6,29.5,19.0,10.3
Albania,2007,Size,,Medium (20-99),Average,19.3,...,87.8,3.4,10.9,82.6,23.3,27.6,21.2,14.0
Albania,2007,Size,,Large (100+),Average,31.0,...,95.3,6.2,11.2,n.a.,n.a.,26.0,33.1,0.7
Albania,2007,Location,,Durres,Average,6.0,...,99.1,2.9,n.a.,9.5,n.a.,7.6,7.6,0.0
Albania,2007,Location,,Elbasan,Average,7.2,...,64.1,2.5,n.a.,...,n.a.,27.4,14.9,14.3
Albania,2007,Location,,Fier,Average,n.a.,...,n.a.,n.a.,...,n.a.,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Gjirokastra,Average,n.a.,...,n.a.,n.a.,n.a.,n.a.,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Korca,Average,40.6,...,100.0,4.6,n.a.,...,n.a.,12.5,0.0,12.5
Albania,2007,Location,,Shkodra,Average,n.a.,...,n.a.,n.a.,...,...,...,n.a.,n.a.,n.a.
Albania,2007,Location,,Tirana,Average,20.8,...,87.3,4.9,20.8,99.2,31.4,29.7,22.2,11.7
Albania,2007,Location,,Vlora,Average,7.9,...,100.0,3.8,n.a.,n.a.,n.a.,36.3,7.8,0.0
Albania,2007,Exporter Type,,Direct exports are 10% or more of sales,Average,28.7,...,88.6,3.4,n.a.,n.a.,30.0,34.6,46.5,11.5
Albania,2007,Exporter Type,,Non-exporter,Average,17.6,...,86.6,4.8,22.2,98.8,17.7,28.0,16.7,10.5
Albania,2007,Ownership Type,,Domestic,Average,18.6,...,88.1,4.8,25.5,100.8,24.4,28.1,18.8,10.7
Albania,2007,Ownership Type,,10% or more foreign ownership,Average,18.9,...,80.6,3.6,4.6,n.a.,n.a.,32.5,28.2,10.3
Albania,2013,,,,Average,6.7,...,91.2,5.5,10.1,...,6.1,12.8,13.1,3.5
Albania,2013,Sector,Manufacturing,All,Average,6.6,...,95.2,5.3,n.a.,...,n.a.,15.0,9.6,2.4
Albania,2013,Sector,Manufacturing,Manufacturing,Average,6.6,...,95.2,5.3,n.a.,...,n.a.,15.0,9.6,2.4
Albania,2013,Sector,Services,All,Average,6.8,...,89.2,5.5,4.6,...,6.2,11.8,14.9,4.0
Albania,2013,Sector,Services,Retail,Average,8.1,...,89.5,5.8,5.4,...,n.a.,5.7,7.9,0.8
Albania,2013,Sector,Services,Other Services,Average,6.3,...,89.1,5.4,n.a.,...,n.a.,14.3,17.8,5.3
Albania,2013,Size,,Small (5-19),Average,6.1,...,89.6,5.7,12.4,...,n.a.,11.8,12.0,3.8
Albania,2013,Size,,Medium (20-99),Average,7.6,...,97.0,4.6,n.a.,...,n.a.,17.6,18.0,1.5
Albania,2013,Size,,Large (100+),Average,15.0,...,94.2,6.4,...,...,n.a.,10.3,11.0,6.5
Albania,2013,Location,,Durres And Shkoder,Average,21.5,...,98.8,10.3,n.a.,...,n.a.,26.1,21.4,0.0
Albania,2013,Location,,Elbasan And Korce,Average,1.8,...,100.0,5.2,n.a.,...,n.a.,5.8,3.6,0.0
Albania,2013,Location,,Fier And Vlore,Average,7.6,...,100.0,4.4,n.a.,...,n.a.,30.1,35.1,0.0
Albania,2013,Location,,Tirana,Average,4.6,...,87.4,5.0,12.2,...,n.a.,10.6,11.8,5.0
Albania,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,9.9,...,85.3,5.6,n.a.,n.a.,n.a.,12.2,17.8,4.8
Albania,2013,Exporter Type,,Non-exporter,Average,6.1,...,91.4,5.5,11.1,n.a.,4.8,12.9,13.2,3.5
Albania,2013,Gender of Top Manager,,Top manager is female,Average,3.9,...,90.3,4.8,n.a.,n.a.,...,19.7,25.3,10.0
Albania,2013,Gender of Top Manager,,Top manager is male,Average,7.0,...,91.2,5.5,9.5,n.a.,6.1,11.8,11.4,2.7
Albania,2013,Ownership Type,,Domestic,Average,6.1,...,90.8,5.3,10.8,n.a.,n.a.,12.9,13.2,3.5
Albania,2013,Ownership Type,,10% or more foreign ownership,Average,17.2,...,97.6,8.6,n.a.,n.a.,n.a.,9.2,9.2,2.8
Argentina,2006,,,,Average,14.1,...,58.1,4.4,175.8,54.5,51.9,62.3,43.7,14.3
Argentina,2006,Sector,Manufacturing,All,Average,14.7,...,57.9,4.4,218.7,59.6,57.8,62.9,44.3,14.4
Argentina,2006,Sector,Manufacturing,Food,Average,16.0,...,70.0,5.2,290.9,48.2,56.8,64.4,39.8,21.6
Argentina,2006,Sector,Manufacturing,Textiles,Average,9.0,...,63.0,5.4,n.a.,44.5,33.5,63.8,34.4,11.7
Argentina,2006,Sector,Manufacturing,Garments,Average,11.1,...,55.2,4.4,91.9,90.3,30.6,71.0,47.7,15.2
Argentina,2006,Sector,Manufacturing,Machinery & Equipment,Average,13.9,...,50.5,4.0,n.a.,77.7,23.6,79.7,45.7,4.3
Argentina,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,14.8,...,55.9,4.3,202.7,62.5,61.3,61.5,45.2,13.5
Argentina,2006,Sector,Services,All,Average,12.6,...,58.6,4.3,77.0,44.5,44.2,61.0,42.5,14.3
Argentina,2006,Sector,Services,Retail,Average,12.6,...,49.0,3.0,72.4,36.1,47.8,68.1,45.5,16.1
Argentina,2006,Sector,Services,IT & IT Services,Average,15.4,...,64.2,3.3,173.8,n.a.,32.0,67.9,41.6,18.5
Argentina,2006,Sector,Services,Rest of Universe-Services,Average,12.5,...,69.5,5.4,62.8,50.3,37.4,52.3,39.0,11.9
Argentina,2006,Size,,Small (5-19),Average,12.7,...,44.1,3.0,224.6,44.8,63.0,60.8,36.8,15.5
Argentina,2006,Size,,Medium (20-99),Average,15.0,...,65.4,4.5,169.8,55.3,31.6,66.3,50.0,11.1
Argentina,2006,Size,,Large (100+),Average,16.0,...,83.8,6.6,163.7,59.8,67.4,57.8,50.3,18.1
Argentina,2006,Location,,Buenos Aires,Average,13.7,...,56.4,4.4,221.0,60.4,47.2,63.6,44.2,13.8
Argentina,2006,Location,,Cordoba,Average,13.8,...,61.2,3.4,60.6,46.0,89.2,61.0,44.3,22.9
Argentina,2006,Location,,Mendoza,Average,17.0,...,75.1,5.1,68.0,44.8,35.0,55.1,37.1,5.9
Argentina,2006,Location,,Rosario,Average,14.9,...,53.9,4.6,40.3,32.4,27.7,59.1,45.2,19.1
Argentina,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,16.7,...,77.8,5.9,218.0,68.5,40.6,70.1,56.8,13.1
Argentina,2006,Exporter Type,,Non-exporter,Average,13.2,...,51.3,3.6,127.2,46.5,57.7,59.9,39.4,14.8
Argentina,2006,Ownership Type,,Domestic,Average,13.7,...,53.1,4.4,127.3,54.1,44.6,63.0,43.4,13.9
Argentina,2006,Ownership Type,,10% or more foreign ownership,Average,15.9,...,87.9,4.4,271.5,56.2,87.6,59.4,46.3,16.2
Argentina,2010,,,,Average,20.8,...,68.4,4.1,176.1,58.8,77.0,62.4,40.4,21.3
Argentina,2010,Sector,Manufacturing,All,Average,18.1,...,56.4,4.1,87.7,61.5,67.7,56.9,40.0,18.2
Argentina,2010,Sector,Manufacturing,Food,Average,14.5,...,61.9,4.7,73.1,50.8,77.2,58.3,38.4,22.5
Argentina,2010,Sector,Manufacturing,Textiles & Garments,Average,20.6,...,63.2,4.8,n.a.,46.3,87.5,62.1,51.1,21.9
Argentina,2010,Sector,Manufacturing,"Chemicals, Plastics & Rubber",Average,21.2,...,59.5,4.7,43.4,69.4,67.7,50.7,35.3,16.0
Argentina,2010,Sector,Manufacturing,Basic Metals/Fabricated Metals/Machinery & Equip.,Average,22.4,...,54.8,4.0,n.a.,66.7,45.1,60.0,43.7,18.2
Argentina,2010,Sector,Manufacturing,Other Manufacturing,Average,13.9,...,49.1,2.7,117.0,66.2,77.0,57.2,40.1,15.4
Argentina,2010,Sector,Services,All,Average,22.9,...,77.6,4.1,251.7,55.6,97.1,66.6,40.7,23.5
Argentina,2010,Sector,Services,Retail,Average,18.5,...,78.7,5.8,100.0,95.1,112.4,62.0,51.5,21.9
Argentina,2010,Sector,Services,Other Services,Average,24.5,...,77.2,3.4,272.9,52.7,91.2,68.6,36.0,24.2
Argentina,2010,Size,,Medium (20-99),Average,21.0,...,69.9,4.6,87.4,67.9,93.6,61.1,45.1,22.0
Argentina,2010,Size,,Small (5-19),Average,20.7,...,63.1,2.9,265.5,41.7,55.9,65.2,38.2,20.4
Argentina,2010,Size,,Large (100+),Average,20.2,...,91.7,7.0,80.9,69.7,62.4,52.0,35.1,22.9
Argentina,2010,Location,,Buenos Aires,Average,21.8,...,69.5,5.6,69.7,64.4,71.4,60.9,43.8,25.8
Argentina,2010,Location,,Chaco,Average,22.1,...,74.1,2.6,248.6,43.0,n.a.,68.7,34.9,6.4
Argentina,2010,Location,,Cordoba,Average,16.5,...,70.0,3.0,103.8,48.1,70.8,52.0,48.6,33.6
Argentina,2010,Location,,Mendoza,Average,17.6,...,48.1,5.3,n.a.,91.6,107.0,58.6,33.9,19.9
Argentina,2010,Location,,Rosario,Average,18.0,...,58.3,3.5,95.5,54.0,78.9,60.9,43.4,50.5
Argentina,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,19.0,...,86.1,4.4,51.4,63.4,77.5,67.8,33.6,19.9
Argentina,2010,Exporter Type,,Non-exporter,Average,21.1,...,65.2,4.0,194.0,57.8,76.8,61.4,41.7,21.5
Argentina,2010,Gender of Top Manager,,Top manager is female,Average,24.0,...,61.7,2.9,n.a.,101.6,37.9,67.8,30.5,27.8
Argentina,2010,Gender of Top Manager,,Top manager is male,Average,20.6,...,69.3,4.2,195.1,55.2,78.5,61.7,41.2,20.8
Argentina,2010,Ownership Type,,Domestic,Average,20.8,...,67.5,4.0,186.1,58.8,81.6,62.3,39.7,20.9
Argentina,2010,Ownership Type,,10% or more foreign ownership,Average,21.0,...,87.1,5.5,62.9,58.3,49.1,64.4,54.9,29.2
Armenia,2009,,,,Average,10.3,...,78.5,2.7,20.0,26.3,7.6,38.3,21.2,5.6
Armenia,2009,Sector,Manufacturing,All,Average,13.1,...,89.1,2.3,25.7,19.8,3.2,47.6,18.0,3.9
Armenia,2009,Sector,Manufacturing,Manufacturing,Average,13.1,...,89.1,2.3,25.7,19.8,3.2,47.6,18.0,3.9
Armenia,2009,Sector,Services,All,Average,9.2,...,74.9,2.8,19.2,29.7,10.4,35.1,22.2,6.2
Armenia,2009,Sector,Services,Retail,Average,8.8,...,83.5,2.9,29.8,47.7,9.1,46.7,32.6,7.5
Armenia,2009,Sector,Services,Other Services,Average,9.5,...,70.4,2.7,17.7,18.2,11.4,29.0,16.8,5.5
Armenia,2009,Size,,Small (5-19),Average,9.0,...,67.4,2.7,25.3,45.7,13.3,39.5,21.1,6.5
Armenia,2009,Size,,Medium (20-99),Average,12.5,...,90.7,2.7,18.2,19.7,3.6,31.6,23.4,4.0
Armenia,2009,Size,,Large (100+),Average,10.3,...,94.5,2.5,10.5,21.5,4.7,52.1,14.7,6.2
Armenia,2009,Location,,North,Average,10.1,...,69.6,3.3,...,n.a.,...,70.2,6.6,0.0
Armenia,2009,Location,,South-East,Average,13.2,...,80.6,2.9,25.9,9.1,n.a.,28.9,5.8,3.8
Armenia,2009,Location,,South-West,Average,10.4,...,63.8,1.9,n.a.,n.a.,...,26.6,2.4,2.6
Armenia,2009,Location,,Yerevan,Average,10.0,...,79.8,2.7,19.0,29.7,6.4,39.0,24.4,6.2
Armenia,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,13.0,...,85.2,1.8,n.a.,n.a.,n.a.,34.7,17.2,8.2
Armenia,2009,Exporter Type,,Non-exporter,Average,9.8,...,77.4,2.8,20.3,26.3,7.0,39.0,21.8,5.2
Armenia,2009,Gender of Top Manager,,Top manager is female,Average,5.5,...,67.3,2.0,14.8,n.a.,12.5,31.7,12.3,11.6
Armenia,2009,Gender of Top Manager,,Top manager is male,Average,11.1,...,80.3,2.7,20.4,27.5,6.0,39.4,22.5,4.6
Armenia,2009,Ownership Type,,Domestic,Average,9.9,...,80.6,2.6,18.6,26.1,7.4,41.1,19.9,6.0
Armenia,2009,Ownership Type,,10% or more foreign ownership,Average,13.5,...,59.8,2.7,29.3,n.a.,n.a.,18.1,33.2,2.6
Armenia,2013,,,,Average,12.2,...,76.7,1.7,29.9,20.9,10.0,36.8,29.3,4.7
Armenia,2013,Sector,Manufacturing,All,Average,9.3,...,72.6,1.8,9.1,12.2,10.1,35.1,23.2,3.8
Armenia,2013,Sector,Manufacturing,Manufacturing,Average,9.3,...,72.6,1.8,9.1,12.2,10.1,35.1,23.2,3.8
Armenia,2013,Sector,Services,All,Average,13.6,...,78.5,1.6,37.3,28.2,10.0,37.6,32.0,5.1
Armenia,2013,Sector,Services,Retail,Average,13.2,...,74.2,2.1,26.9,31.4,10.7,41.2,26.5,3.5
Armenia,2013,Sector,Services,Other Services,Average,13.8,...,81.2,1.4,44.6,21.8,8.3,35.3,35.4,6.0
Armenia,2013,Size,,Small (5-19),Average,10.5,...,66.6,1.4,12.6,25.9,7.1,33.9,23.1,5.5
Armenia,2013,Size,,Medium (20-99),Average,14.7,...,81.7,1.8,56.5,13.8,14.8,40.9,40.3,1.3
Armenia,2013,Size,,Large (100+),Average,10.4,...,98.3,2.0,15.3,38.6,9.3,34.7,16.1,12.8
Armenia,2013,Location,, North,Average,4.9,...,74.0,1.8,n.a.,n.a.,...,25.2,4.5,0.0
Armenia,2013,Location,,South East,Average,14.3,...,82.9,2.3,5.3,...,n.a.,48.1,15.8,0.0
Armenia,2013,Location,,South West,Average,13.1,...,95.4,1.9,n.a.,...,8.0,49.7,51.9,8.3
Armenia,2013,Location,,Yerevan,Average,12.3,...,74.8,1.6,34.4,21.2,12.5,35.3,30.3,5.1
Armenia,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,12.3,...,87.5,1.8,13.4,n.a.,n.a.,34.0,17.1,0.0
Armenia,2013,Exporter Type,,Non-exporter,Average,12.2,...,75.7,1.7,32.1,20.1,8.5,36.7,30.7,5.1
Armenia,2013,Gender of Top Manager,,Top manager is female,Average,13.9,...,67.5,1.5,26.8,n.a.,n.a.,23.2,33.3,4.7
Armenia,2013,Gender of Top Manager,,Top manager is male,Average,11.8,...,78.8,1.7,30.9,23.4,10.4,39.8,28.1,4.7
Armenia,2013,Ownership Type,,Domestic,Average,12.1,...,75.8,1.7,31.2,20.1,7.9,37.4,30.0,4.1
Armenia,2013,Ownership Type,,10% or more foreign ownership,Average,12.4,...,85.9,1.6,20.7,n.a.,n.a.,29.6,19.8,12.2
Antigua and Barbuda,2010,,,,Average,4.5,...,71.9,2.7,2.9,n.a.,8.1,73.5,42.0,16.6
Antigua and Barbuda,2010,Sector,Manufacturing,All,Average,4.8,...,76.6,2.6,1.5,...,6.0,79.6,52.9,14.7
Antigua and Barbuda,2010,Sector,Manufacturing,Manufacturing,Average,4.8,...,76.6,2.6,1.5,...,6.0,79.6,52.9,14.7
Antigua and Barbuda,2010,Sector,Services,All,Average,4.5,...,71.4,2.7,3.1,n.a.,8.4,72.8,40.7,16.8
Antigua and Barbuda,2010,Sector,Services,Services,Average,4.5,...,71.4,2.7,3.1,n.a.,8.4,72.8,40.7,16.8
Antigua and Barbuda,2010,Size,,Small (5-19),Average,4.3,...,69.6,2.8,2.6,n.a.,7.3,76.8,40.9,15.2
Antigua and Barbuda,2010,Size,,Medium (20-99),Average,5.2,...,81.7,2.5,3.7,n.a.,9.4,69.7,42.4,22.8
